name	cholesterol	sodium	dietary_fiber	sugars	protein	vitamin_a_dv	vitamin_c_dv	calcium_dv	iron_dv	calories_from_fat	saturated_fat	trans_fat	carbohydrates
Hamburger	-0.0431346522	0.6230012665	0.7375218752	-1.1870866799	0.5633942538	-0.3171382914	-0.1399527087	-0.4850079703	2.0027841505	0.2371443588	0.0590243459	2.078750685	-0.5258699293
Cheeseburger	0.2167933049	0.9125211938	0.5310050126	-1.2370932168	0.6398293419	-0.2200479296	-0.1420321553	-0.1709757843	1.5276302178	0.4551092055	0.5744365357	1.6606484246	-0.7518547985
DoubleCheeseburger	0.5948703335	0.9908545075	0.2024554586	-1.2882362659	0.9004035056	-0.2068083348	-0.145340366	-0.2869535803	1.3116511575	0.9717141992	1.0039466939	3.8461829675	-1.2801311162
McDouble	0.476721262	0.815307543	0.2927163251	-1.2627375947	0.8848135984	-0.2424533977	-0.1444315169	-0.3521481993	1.5885473887	0.7784636483	0.6184888596	2.7863083564	-1.1616075834
QuarterPounder®withCheese+	0.5531706612	0.7976323338	0.4095245053	-1.2665088268	0.9021066047	-0.2219516622	-0.1401973494	-0.2633381919	1.4810464989	0.8489112393	0.8776201768	3.2592747143	-1.2614285232
DoubleQuarterPounder®withCheese++	0.8104125584	0.4747014839	0.1263435928	-1.3350789986	1.2079279691	-0.2515366956	-0.1439991995	-0.4786424531	1.399210236	1.1409831438	1.0619886072	3.807660032	-1.6549217469
BigMac®	0.2601146311	0.5167928981	0.3589076272	-1.2787653309	0.4982828825	-0.2631992015	-0.146653148	-0.410861482	1.3516472798	0.9913719234	0.4471742666	3.0543226259	-1.1823021685
BigN'Tasty®	0.3637091068	0.268144544	0.5085575276	-1.2697061757	0.7229109593	-0.2538184902	-0.1253061711	-0.5720495002	1.7342188842	0.9763294909	0.3503442793	3.6602679308	-1.2290899261
BigN'Tasty®withCheese	0.476721262	0.4867565948	0.4095245053	-1.2910218351	0.7522338831	-0.2219516622	-0.1279653101	-0.4942442111	1.4810464989	1.032074976	0.7091848206	3.2592747143	-1.324729607
AngusBacon&Cheese	0.6083303543	0.9954156877	0.2826619501	-1.2814028065	0.9059008508	-0.2556886953	-0.1445327558	-0.5833914717	1.2569729144	0.8118147863	0.7049206344	2.7455973281	-1.2401946154
AngusDeluxe	0.5806924449	0.7516767897	0.3244881501	-1.320437445	0.7672211552	-0.2200479296	-0.1357938153	-0.5635160169	1.3692455736	0.922176734	0.6889725779	2.9149552058	-1.2145857212
AngusMushroom&Swiss	0.5442350171	0.2366166016	0.3030318527	-1.3572387925	0.9128117991	-0.2667017398	-0.1524293888	-0.3443052376	1.3116511575	0.9262206087	0.7529342638	2.828076814	-1.2906127891
Filet-O-Fish®	-0.0020933958	0.3501704578	0.3136188415	-1.3226307142	0.2375394048	-0.2915881962	-0.1524293888	-0.491205974	0.4022656403	0.8320408952	-0.3524011741	-0.4298628772	-0.9132725622
McChicken®	-0.0647953153	0.7784841904	0.3589076272	-1.3134920927	0.2151899639	-0.3171382914	-0.1437650276	-0.628939389	1.1316686072	0.6886429698	-0.4277538334	-0.4298628772	-0.7339194914
